[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[33, 34]; [0.4, 0.45]: 17873 / 3024
[33, 34]; [0.45, 0.5]: 17833 / 2981
[33, 34]; [0.5, 0.55]: 17924 / 2949
[33, 34]; [0.55, 0.6]: 17782 / 3080
[33, 34]; [0.6, 0.65]: 15870 / 2767
[33, 34]; [0.65, 0.7]: 7458 / 1254
[33, 34]; [0.7, 0.75]: 392 / 65
[33, 34]; [0.75, 0.8]: 0 / 0
[33, 34]; [0.8, 0.85]: 0 / 0
[33, 34]; [0.85, 0.9]: 0 / 0
[33, 34]; [0.9, 0.95]: 0 / 0
[33, 34]; [0.95, 1]: 0 / 0

[34, 35]; [-1, -0.95]: 0 / 0
[34, 35]; [-0.95, -0.9]: 0 / 0
[34, 35]; [-0.9, -0.85]: 0 / 0
[34, 35]; [-0.85, -0.8]: 0 / 0
[34, 35]; [-0.8, -0.75]: 0 / 0
[34, 35]; [-0.75, -0.7]: 742 / 133
[34, 35]; [-0.7, -0.65]: 8251 / 1415
[34, 35]; [-0.65, -0.6]: 14641 / 2444
[34, 35]; [-0.6, -0.55]: 15377 / 2652
[34, 35]; [-0.55, -0.5]: 15291 / 2613
[34, 35]; [-0.5, -0.45]: 15280 / 2616
[34, 35]; [-0.45, -0.4]: 15589 / 2515
[34, 35]; [-0.4, -0.35]: 15755 / 2516
[34, 35]; [-0.35, -0.3]: 15614 / 2535
[34, 35]; [-0.3, -0.25]: 15696 / 2502
[34, 35]; [-0.25, -0.2]: 15732 / 2592
[34, 35]; [-0.2, -0.15]: 15821 / 2540
[34, 35]; [-0.15, -0.1]: 15944 / 2539
[34, 35]; [-0.1, -0.05]: 15738 / 2555
[34, 35]; [-0.05, 0]: 15708 / 2495
[34, 35]; [0, 0.05]: 15820 / 2409
[34, 35]; [0.05, 0.1]: 15822 / 2461
[34, 35]; [0.1, 0.15]: 15935 / 2479
[34, 35]; [0.15, 0.2]: 15868 / 2510
[34, 35]; [0.2, 0.25]: 15728 / 2548
[34, 35]; [0.25, 0.3]: 15661 / 2462
[34, 35]; [0.3, 0.35]: 15697 / 2573
[34, 35]; [0.35, 0.4]: 15522 / 2612
[34, 35]; [0.4, 0.45]: 15609 / 2597
[34, 35]; [0.45, 0.5]: 15419 / 2561
[34, 35]; [0.5, 0.55]: 15637 / 2557
[34, 35]; [0.55, 0.6]: 15570 / 2675
[34, 35]; [0.6, 0.65]: 14865 / 2543
[34, 35]; [0.65, 0.7]: 8273 / 1415
[34, 35]; [0.7, 0.75]: 694 / 118
[34, 35]; [0.75, 0.8]: 0 / 0
[34, 35]; [0.8, 0.85]: 0 / 0
[34, 35]; [0.85, 0.9]: 0 / 0
[34, 35]; [0.9, 0.95]: 0 / 0
[34, 35]; [0.95, 1]: 0 / 0

[35, 36]; [-1, -0.95]: 0 / 0
[35, 36]; [-0.95, -0.9]: 0 / 0
[35, 36]; [-0.9, -0.85]: 0 / 0
[35, 36]; [-0.85, -0.8]: 0 / 0
[35, 36]; [-0.8, -0.75]: 0 / 0
[35, 36]; [-0.75, -0.7]: 1171 / 176
[35, 36]; [-0.7, -0.65]: 8566 / 1433
[35, 36]; [-0.65, -0.6]: 13477 / 2196
[35, 36]; [-0.6, -0.55]: 13311 / 2212
[35, 36]; [-0.55, -0.5]: 13563 / 2254
[35, 36]; [-0.5, -0.45]: 13466 / 2158
[35, 36]; [-0.45, -0.4]: 13536 / 2173
[35, 36]; [-0.4, -0.35]: 13582 / 2106
[35, 36]; [-0.35, -0.3]: 13579 / 2077
[35, 36]; [-0.3, -0.25]: 13693 / 2143
[35, 36]; [-0.25, -0.2]: 13973 / 2197
[35, 36]; [-0.2, -0.15]: 13766 / 2135
[35, 36]; [-0.15, -0.1]: 13885 / 2147
[35, 36]; [-0.1, -0.05]: 13816 / 2133
[35, 36]; [-0.05, 0]: 13597 / 2181
[35, 36]; [0, 0.05]: 13712 / 2177
[35, 36]; [0.05, 0.1]: 13590 / 2134
[35, 36]; [0.1, 0.15]: 13801 / 2097
[35, 36]; [0.15, 0.2]: 13699 / 2207
[35, 36]; [0.2, 0.25]: 13678 / 2171
[35, 36]; [0.25, 0.3]: 13616 / 2203
[35, 36]; [0.3, 0.35]: 13816 / 2239
[35, 36]; [0.35, 0.4]: 13601 / 2130
[35, 36]; [0.4, 0.45]: 13604 / 2171
[35, 36]; [0.45, 0.5]: 13485 / 2221
[35, 36]; [0.5, 0.55]: 13432 / 2259
[35, 36]; [0.55, 0.6]: 13298 / 2213
[35, 36]; [0.6, 0.65]: 13263 / 2148
[35, 36]; [0.65, 0.7]: 8729 / 1446
[35, 36]; [0.7, 0.75]: 1223 / 229
[35, 36]; [0.75, 0.8]: 0 / 0
[35, 36]; [0.8, 0.85]: 0 / 0
[35, 36]; [0.85, 0.9]: 0 / 0
[35, 36]; [0.9, 0.95]: 0 / 0
[35, 36]; [0.95, 1]: 0 / 0

[36, 37]; [-1, -0.95]: 0 / 0
[36, 37]; [-0.95, -0.9]: 0 / 0
[36, 37]; [-0.9, -0.85]: 0 / 0
[36, 37]; [-0.85, -0.8]: 0 / 0
[36, 37]; [-0.8, -0.75]: 0 / 0
[36, 37]; [-0.75, -0.7]: 1545 / 250
[36, 37]; [-0.7, -0.65]: 8964 / 1358
[36, 37]; [-0.65, -0.6]: 11558 / 1877
[36, 37]; [-0.6, -0.55]: 11892 / 2016
[36, 37]; [-0.55, -0.5]: 11817 / 1953
[36, 37]; [-0.5, -0.45]: 11805 / 1866
[36, 37]; [-0.45, -0.4]: 12009 / 1843
[36, 37]; [-0.4, -0.35]: 11676 / 1833
[36, 37]; [-0.35, -0.3]: 11841 / 1869
[36, 37]; [-0.3, -0.25]: 11878 / 1851
[36, 37]; [-0.25, -0.2]: 11910 / 1787
[36, 37]; [-0.2, -0.15]: 12015 / 1852
[36, 37]; [-0.15, -0.1]: 12074 / 1847
[36, 37]; [-0.1, -0.05]: 11847 / 1843
[36, 37]; [-0.05, 0]: 11772 / 1792
[36, 37]; [0, 0.05]: 11951 / 1918
[36, 37]; [0.05, 0.1]: 12237 / 1852
[36, 37]; [0.1, 0.15]: 11943 / 1870
[36, 37]; [0.15, 0.2]: 12132 / 1780
[36, 37]; [0.2, 0.25]: 11842 / 1804
[36, 37]; [0.25, 0.3]: 12002 / 1872
[36, 37]; [0.3, 0.35]: 11938 / 1875
[36, 37]; [0.35, 0.4]: 11978 / 1865
[36, 37]; [0.4, 0.45]: 11876 / 1858
[36, 37]; [0.45, 0.5]: 11721 / 1828
[36, 37]; [0.5, 0.55]: 11726 / 1876
[36, 37]; [0.55, 0.6]: 11891 / 1862
[36, 37]; [0.6, 0.65]: 11799 / 1922
[36, 37]; [0.65, 0.7]: 8839 / 1460
[36, 37]; [0.7, 0.75]: 1723 / 253
[36, 37]; [0.75, 0.8]: 0 / 0
[36, 37]; [0.8, 0.85]: 0 / 0
[36, 37]; [0.85, 0.9]: 0 / 0
[36, 37]; [0.9, 0.95]: 0 / 0
[36, 37]; [0.95, 1]: 0 / 0

[37, 38]; [-1, -0.95]: 0 / 0
[37, 38]; [-0.95, -0.9]: 0 / 0
[37, 38]; [-0.9, -0.85]: 0 / 0
[37, 38]; [-0.85, -0.8]: 0 / 0
[37, 38]; [-0.8, -0.75]: 0 / 0
[37, 38]; [-0.75, -0.7]: 2204 / 378
[37, 38]; [-0.7, -0.65]: 8497 / 1448
[37, 38]; [-0.65, -0.6]: 10310 / 1664
[37, 38]; [-0.6, -0.55]: 10167 / 1692
[37, 38]; [-0.55, -0.5]: 10303 / 1590
[37, 38]; [-0.5, -0.45]: 10432 / 1674
[37, 38]; [-0.45, -0.4]: 10457 / 1610
[37, 38]; [-0.4, -0.35]: 10180 / 1564
[37, 38]; [-0.35, -0.3]: 10487 / 1659
[37, 38]; [-0.3, -0.25]: 10518 / 1553
[37, 38]; [-0.25, -0.2]: 10580 / 1675
[37, 38]; [-0.2, -0.15]: 10439 / 1638
[37, 38]; [-0.15, -0.1]: 10307 / 1529
[37, 38]; [-0.1, -0.05]: 10224 / 1570
[37, 38]; [-0.05, 0]: 10490 / 1559
[37, 38]; [0, 0.05]: 10447 / 1539
[37, 38]; [0.05, 0.1]: 10473 / 1568
[37, 38]; [0.1, 0.15]: 10220 / 1575
[37, 38]; [0.15, 0.2]: 10433 / 1591
[37, 38]; [0.2, 0.25]: 10381 / 1641
[37, 38]; [0.25, 0.3]: 10529 / 1526
[37, 38]; [0.3, 0.35]: 10620 / 1592
[37, 38]; [0.35, 0.4]: 10498 / 1677
[37, 38]; [0.4, 0.45]: 10453 / 1655
[37, 38]; [0.45, 0.5]: 10489 / 1610
[37, 38]; [0.5, 0.55]: 10367 / 1738
[37, 38]; [0.55, 0.6]: 10209 / 1637
[37, 38]; [0.6, 0.65]: 10126 / 1641
[37, 38]; [0.65, 0.7]: 8594 / 1430
[37, 38]; [0.7, 0.75]: 2203 / 374
[37, 38]; [0.75, 0.8]: 1 / 0
[37, 38]; [0.8, 0.85]: 0 / 0
[37, 38]; [0.85, 0.9]: 0 / 0
[37, 38]; [0.9, 0.95]: 0 / 0
[37, 38]; [0.95, 1]: 0 / 0

[38, 39]; [-1, -0.95]: 0 / 0
[38, 39]; [-0.95, -0.9]: 0 / 0
